STATION,NAME,DATE,TAVG,TMAX,TMIN
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/1/2021,30,51,15
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/2/2021,37,55,23
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/3/2021,39,55,27
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/4/2021,42,55,32
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/5/2021,42,59,27
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/6/2021,42,52,30
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/7/2021,42,58,25
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/8/2021,43,56,32
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/9/2021,31,37,21
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/10/2021,27,40,13
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/11/2021,26,33,15
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/12/2021,30,40,21
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/13/2021,35,47,25
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/14/2021,39,54,23
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/15/2021,39,55,29
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/16/2021,38,50,29
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/17/2021,38,52,28
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/18/2021,45,59,31
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/19/2021,46,60,32
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/20/2021,31,36,22
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/21/2021,28,37,16
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/22/2021,30,38,22
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/23/2021,29,35,25
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/24/2021,31,41,18
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/25/2021,31,38,24
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/26/2021,33,42,23
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/27/2021,40,54,25
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/28/2021,48,63,33
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/29/2021,39,49,19
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/30/2021,30,43,16
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",3/31/2021,37,54,19
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/1/2021,47,68,27
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/2/2021,56,71,39
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/3/2021,57,73,39
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/4/2021,57,70,44
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/5/2021,44,59,26
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/6/2021,40,55,24
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/7/2021,47,64,27
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/8/2021,46,58,34
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/9/2021,43,62,21
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/10/2021,49,63,30
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/11/2021,41,57,23
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/12/2021,36,51,21
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/13/2021,37,51,24
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/14/2021,33,40,30
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/15/2021,35,45,28
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/16/2021,36,42,28
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/17/2021,38,50,25
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/18/2021,47,61,29
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/19/2021,50,61,33
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/20/2021,42,56,28
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/21/2021,42,50,30
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/22/2021,44,58,29
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/23/2021,48,60,35
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/24/2021,49,59,37
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/25/2021,42,46,32
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/26/2021,34,41,27
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/27/2021,38,51,22
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/28/2021,47,63,28
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/29/2021,58,74,42
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",4/30/2021,65,82,44
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/1/2021,62,73,46
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/2/2021,47,55,37
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/3/2021,45,59,28
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/4/2021,53,66,36
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/5/2021,53,69,36
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/6/2021,65,81,45
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/7/2021,58,69,41
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/8/2021,45,57,29
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/9/2021,44,54,30
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/10/2021,44,56,30
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/11/2021,48,62,31
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/12/2021,56,73,37
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/13/2021,65,78,47
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/14/2021,62,79,46
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/15/2021,54,67,45
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/16/2021,51,68,39
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/17/2021,55,71,40
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/18/2021,60,74,44
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/19/2021,62,77,50
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/20/2021,46,57,35
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/21/2021,38,49,32
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/22/2021,36,46,30
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/23/2021,38,46,32
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/24/2021,49,61,32
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/25/2021,55,67,40
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/26/2021,55,68,41
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/27/2021,62,76,42
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/28/2021,63,76,48
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/29/2021,60,75,43
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/30/2021,63,76,46
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",5/31/2021,65,80,48
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/1/2021,69,83,50
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/2/2021,72,87,55
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/3/2021,76,91,59
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/4/2021,71,90,60
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/5/2021,73,87,58
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/6/2021,69,87,47
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/7/2021,71,84,52
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/8/2021,70,80,57
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/9/2021,69,80,51
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/10/2021,50,59,40
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/11/2021,58,77,35
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/12/2021,69,86,48
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/13/2021,76,92,55
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/14/2021,80,94,59
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/15/2021,80,93,65
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/16/2021,75,92,56
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/17/2021,77,91,59
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/18/2021,76,92,58
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/19/2021,79,92,62
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/20/2021,78,90,61
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/21/2021,77,93,57
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/22/2021,77,91,61
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/23/2021,73,84,60
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/24/2021,61,69,55
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/25/2021,69,82,50
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/26/2021,71,85,58
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/27/2021,73,86,57
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/28/2021,73,85,60
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/29/2021,74,86,58
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",6/30/2021,70,86,56
