NAME,DATE,TAVG,TMIN,TMAX
"BIG OAKS INDIANA, IN US",1/2/2021,36.0,36.0,36.0
"CONCORD 3.8 SSE, NH US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
"GEORGETOWN DELAWARE COASTAL AIRPORT, DE US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
"EB FORSYTHE NEW JERSEY, NJ US",1/2/2021,48.0,48.0,48.0
"SAVRAW SOUTH CAROLINA, SC US",1/2/2021,64.0,64.0,64.0
"BUFFUMVILLE LAKE, MA US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
"RINCON ARIZONA, AZ US",1/2/2021,31.0,31.0,31.0
"FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT, AR US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
"NINIGRET RHODE ISLAND, RI US",1/2/2021,43.0,43.0,43.0
"MATTHEWS PALMER PLAYGROUND NEW YORK 6.8 NNW, NY US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
"EFFIE MINNESOTA, MN US",1/2/2021,24.0,24.0,24.0
"DAWSONVILLE GEORGIA, GA US",1/2/2021,54.0,54.0,54.0
"IOWA CITY MUNICIPAL AIRPORT, IA US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
"MDC CLINTON HQTRS MISSOURI, MO US",1/2/2021,27.0,27.0,27.0
"PLEASANT GROVE UTAH, UT US",1/2/2021,29.0,29.0,29.0
"SAND CREEK NORTH DAKOTA, ND US",1/2/2021,34.0,34.0,34.0
"CAMPBELL 1.4 NNW, FL US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
"KISATCHIE FTS LOUISIANA, LA US",1/2/2021,42.0,42.0,42.0
"ALLISON OREGON, OR US",1/2/2021,30.0,30.0,30.0
"CALAVERAS ROAD CALIFORNIA, CA US",1/2/2021,48.0,48.0,48.0
